occupationUri,FS1,FS2,FS3,FS4,FS5,FS6,FS7,FS8,FS9,FS10
http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,67.08105664966509,69.42364886063635,79.25499876738239,76.05995098543197,93.74173687459104,81.88319339202033,77.91429116941801,67.69891255293098,68.24823783780755,79.25648844407304
http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,70.63934428074478,69.42364886063635,59.77877413130869,91.78335903885184,56.59193262711532,64.08045043726429,76.22488027414322,67.69891255293098,53.43189949980591,60.65724036357226
http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,67.85334754239551,69.42364886063635,77.77434583339802,81.52124693075244,78.66720240870188,76.7831766391103,78.78547389764519,67.69891255293098,59.88278113444211,70.1349882994075
http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,89.2695268496735,69.42364886063635,77.55666544971547,83.40925497254048,46.29004041564905,68.95246213772114,69.32409466026317,67.69891255293098,56.98497236834943,62.26986655264274
http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,66.94361543601956,69.42364886063635,75.12361964116515,73.43322350931645,69.12727155766433,73.38720357868704,74.74896129638944,67.69891255293098,37.31715991627662,48.20323830198247
http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,68.94934590180235,69.42364886063635,75.18681864998427,81.09057382452909,79.47011829956979,53.06155049339634,54.36030809090779,67.69891255293098,70.96493075921559,73.87660161322573
http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,69.37781241954494,69.42364886063635,67.50915700474877,91.78335903885184,58.52700100764402,74.17020412932342,74.9393714322412,67.69891255293098,55.04929445806987,60.65724036357226
http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,70.19570105027516,69.42364886063635,76.53032371209056,66.91714757165366,46.67324057210977,83.84342830470668,60.29009364388403,67.69891255293098,63.69859600423361,50.14787469574545
http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,76.98744313508055,69.42364886063635,61.30717316809361,59.61895753816472,81.66295411294568,54.78608524762069,64.56291735441066,67.69891255293098,34.59300587321657,63.106156070035254
http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,68.94527300941138,69.42364886063635,87.7598510133961,60.86400633525109,38.79070867716145,53.06155049339634,54.36030809090779,67.69891255293098,64.73646041711098,79.38913992700624
http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,63.872261733607544,69.42364886063635,80.03201408656993,75.32881861455587,71.90267359758894,87.03441527527401,83.96749683539547,67.69891255293098,41.0277277702935,52.18690177519237
http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,57.075366756274505,0.0,68.0800722815778,84.06025976744888,59.62958728403915,76.07616884082346,49.24502221327389,67.69891255293098,50.39305704144957,36.57183309810425
http://data.europa.eu/esco/occupation/00913533-5237-4870-9003-d1cb806603c9,65.26338270043453,69.42364886063635,83.45359671813318,85.73817629702957,26.653702921242473,45.3964603483015,45.79597463015285,67.69891255293098,24.396472089642995,32.324240652023946
http://data.europa.eu/esco/occupation/009d29de-5872-43be-8d9b-abd27f8c99f1,52.3158047207672,69.42364886063635,61.72635371457271,86.9577959412394,54.58288979963305,57.09867481758134,72.0334950757238,67.69891255293098,47.6208748583148,48.20323830198247
http://data.europa.eu/esco/occupation/00ab29a3-6d4a-4df9-b46d-de31069e36e8,63.84107138941155,69.42364886063635,84.30809065378367,80.7920602868461,60.27113682546544,59.44675022223569,69.4142532716889,67.69891255293098,50.39305704144957,59.76261302980362
http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd,64.30065642868232,69.42364886063635,65.47693346235361,92.53608380573888,60.75800061736104,71.7428146053886,69.72079346367696,67.69891255293098,56.420571447859516,63.566976596780194
http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,60.78614347068874,69.42364886063635,76.84940702325115,89.70660647623794,69.42621023679253,70.24254859917146,81.50830298119239,67.69891255293098,64.14634156313303,64.95870680272435
http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,62.631078613130875,69.42364886063635,76.66360282678593,81.52124693075244,57.2364866791873,66.392790331057,75.36294310183708,67.69891255293098,49.04684357009752,60.22640685504776
http://data.europa.eu/esco/occupation/00fdad73-4551-4e43-b256-1d4a3759db1e,52.3158047207672,69.42364886063635,75.12361964116515,59.054792404682246,44.59881085015015,75.45231449506376,58.714250490900966,67.69891255293098,61.743717991979025,87.00337362937238
http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,75.2278064715056,69.42364886063635,89.54121924618254,46.387185039278414,89.38315816895332,98.08203431744741,90.63716210812433,67.69891255293098,74.69806563785816,81.9327066576105
http://data.europa.eu/esco/occupation/01484951-15e6-4b88-a20f-1201868d36a0,70.07109106832851,69.42364886063635,82.45980542705449,86.22142915244616,73.09094099290377,44.44978228638491,44.704751429453715,67.69891255293098,23.44720302809306,56.5903652973293
http://data.europa.eu/esco/occupation/0152b59d-5005-470c-9273-ef321477d8dc,88.77677181726085,69.42364886063635,88.76980400499427,38.918820194804226,85.59737815087797,96.48683702717578,92.63672294058456,67.69891255293098,95.05504484506974,91.69442181432952
