occupationUri,FS1,FS2,FS3,FS4,FS5,FS6,FS7,FS8,FS9,FS10
http://data.europa.eu/esco/occupation/476420bb-2577-4f79-ad32-186f19c4fd02,47.91236370680699,49.1850493872363,71.82478544849526,39.78550946464411,63.35836158117455,74.54267534266106,51.253587737614026,61.557961636368425,64.78111517235413,40.25036976834231
http://data.europa.eu/esco/occupation/4779055b-f769-4c6d-8e0e-088bb74cfce9,76.66302729912599,78.04790514680582,76.50990176459644,75.18682637799003,82.94662237262544,81.87673003354685,73.36497048622745,76.86072978136635,72.27621344726597,74.41392681833933
http://data.europa.eu/esco/occupation/4791e217-d607-40d5-9f84-df1d0a071cbc,53.8952065528411,71.53003807823924,66.3915464496851,61.99823119536843,74.71681240294983,81.87673003354685,74.5755213937006,70.81708043199167,70.08525107322987,73.71027536579851
http://data.europa.eu/esco/occupation/4795d4e3-c623-47ff-abab-7de97fcb764e,59.84232243478354,69.35811574901717,69.79187506810725,95.52944037078115,76.08067431880104,78.83890564578954,73.59261475580989,77.50882604692676,54.76021431288937,64.45674595356
http://data.europa.eu/esco/occupation/479ede81-bd51-4f3b-9d30-4910699fd211,52.640787583258366,57.65913815370167,70.61047945167837,45.62409575005883,46.756875016580985,73.55926230363474,45.98353617479796,48.512929029815595,43.16418287933422,44.20208679111743
http://data.europa.eu/esco/occupation/47ae3ed9-e03c-450e-9ea8-aab317545adc,82.44975849709067,84.14683340161206,76.600573141305,86.91891145758764,79.8887463748816,79.61107826686536,79.59302108915834,84.31370038571173,84.12361821304681,74.11466565508822
http://data.europa.eu/esco/occupation/47af27c4-5b45-4cce-ba01-4e96f8cf97b9,54.725139969466,61.9915437612346,57.617276345591115,56.777909231643555,54.11871345482797,67.39799043524134,50.93564786392547,72.42757703715297,48.627967400282266,51.65057484451579
http://data.europa.eu/esco/occupation/47b747bb-5bbf-40d5-aa3e-8d4a79238502,59.11601479269794,76.54464972912265,72.27999292253915,37.070452044298285,68.27865412491784,75.02135596701758,39.687645440314974,65.86206080009208,55.019178788873305,43.195202222759185
http://data.europa.eu/esco/occupation/47dd863b-b124-4bb1-bb42-a9498492a8cb,64.06936164039406,85.5732383103947,70.6419903860925,75.38666786231114,74.1044595342943,83.33809534535482,75.926371537557,77.23768935323449,76.22077207217833,61.263033159078525
http://data.europa.eu/esco/occupation/47e4135b-95d1-4462-920c-afcbd7c4d9be,54.041351674204385,56.83406502031493,62.60265591711355,47.18977421402435,45.1346622308587,46.71101297772174,47.15272081002668,43.52845262187175,41.4114319056057,48.21947889979895
http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344,67.94849765545447,68.29057597286429,70.63598295563656,61.99823119536843,73.0418784077823,82.00796364695124,85.42347494232722,56.37010335768674,58.829492301335044,71.37570755820913
http://data.europa.eu/esco/occupation/480d2853-db07-43d4-847f-7ffdd8d368f5,65.33182511695976,80.05586851864464,74.46492705551488,57.83006993682118,69.36325392495348,74.86713380754762,82.99540498834666,53.9085300401318,55.016932242313246,68.87070296976925
http://data.europa.eu/esco/occupation/484ca14a-8e11-4ae1-ba9c-901cd86df56b,66.74343753300629,73.8485143396621,72.88735697570607,70.8391686851967,65.03390515422751,61.37421518688685,76.46690045389694,76.46931550433439,67.45406747254407,78.00681927309016
http://data.europa.eu/esco/occupation/4874fa37-0cd1-4a68-aed8-a838851f242d,57.58409301314907,72.98511582906795,83.77322050433176,74.08935061249552,64.0139860727038,73.52637409898138,70.94272259385619,61.353816998587114,61.13028131086316,65.0880914117065
http://data.europa.eu/esco/occupation/4887c8a5-35d3-44c3-be69-346027e485f0,50.709492945429325,63.494801930623794,77.530260677754,77.30041668329416,65.13680967756795,59.865739814352665,56.81361703785376,55.94848513837346,56.47905383638659,57.21109897087242
http://data.europa.eu/esco/occupation/489b9a38-89a2-425c-95b9-79cec66379e1,68.04700411078453,73.38634008937943,68.95560846191668,74.18532175344716,67.96041754600125,88.35771879835868,70.94272259385619,68.03889383432335,58.816168642036374,68.69230699771444
http://data.europa.eu/esco/occupation/48b336d2-7ffb-49a3-a010-444b68ddd12d,69.37204820770724,81.00799170859815,61.45262228076859,65.20495187698721,66.45309333965501,82.15738571475613,58.50199746625585,75.98965180794953,70.49693842517036,61.225879452487206
http://data.europa.eu/esco/occupation/48c8eccb-4bd0-487e-a187-4953cbbe956e,68.52544365281354,78.64655929620987,75.60460267206052,77.00220024164042,81.69304702964021,79.52441061005054,97.7195495888522,74.56895023514222,64.0237057222899,95.28976363207494
http://data.europa.eu/esco/occupation/49023c69-302f-4671-b26f-7229d1a53915,48.7395942507536,58.87229665846467,71.15161613943036,41.189064976321724,46.756875016580985,73.82973649906596,42.698964872070434,50.91540025119733,51.146829121426805,43.58136314446493
http://data.europa.eu/esco/occupation/490d0c6f-0dc8-4825-9f17-207749fb1785,51.29275189346134,83.1969371726218,71.47515248336268,54.008883246992916,65.40347505252379,68.1322599919577,54.369304270794395,86.184252643689,84.65977140121171,45.87058815112916
http://data.europa.eu/esco/occupation/4910419f-b4af-4f59-b544-9dbebc8a74f0,58.95368572811411,69.71594321464174,62.76508235887479,68.85674916546735,67.98549412674019,68.33772320318884,74.99999200244143,78.9378747594773,57.65301996835723,68.98523453406557
http://data.europa.eu/esco/occupation/491cf76d-eb0d-4f15-90f0-3f5c9b11472a,71.18462252039372,96.10570964356715,78.9704306965678,72.64065659776706,75.32957159373643,83.20581848442366,75.16882664270396,88.08131250912352,86.99802227848697,77.31546858808315
http://data.europa.eu/esco/occupation/49607371-2712-4b0a-8d7c-1b4bc22d9581,72.30488862572189,82.76754649652104,70.57077655270987,78.14568342165833,71.3908015623515,82.60472441056625,78.52135123880998,70.91939057476034,78.00057400042323,80.35081586787368
http://data.europa.eu/esco/occupation/49713da4-4e97-4f82-bd1c-16ce7f9179b7,70.71651146662113,79.3291087940702,72.40065940015226,68.39217832360495,90.34942969688416,71.38913676255578,89.02537957342133,78.48038431725296,67.86686590235385,80.35081586787368
http://data.europa.eu/esco/occupation/499f80e3-860c-48ef-8286-be929a93e254,54.91506240293698,72.34537201577726,63.9053442119297,56.52080214614844,65.0325158844371,65.77547019267023,73.50377841284859,64.4621479910938,65.32682717881993,58.48168304264735
