URI,FS_ID
http://data.europa.eu/esco/skill/ccdf3597-5c80-410f-896d-e1bdfa223de9,FS_5
http://data.europa.eu/esco/skill/df64a7cc-2e96-4304-95d3-56fe0ac2dd39,FS_5
http://data.europa.eu/esco/skill/d97c894e-d330-4bd3-b8ba-138fc11855ee,FS_5
http://data.europa.eu/esco/skill/e9e263aa-11d7-41c8-bdb3-d823e4cbc1a7,FS_5
http://data.europa.eu/esco/skill/8c4c49d4-9708-433f-8ca7-bf2c5211ee49,FS_5
http://data.europa.eu/esco/skill/591dd514-735b-46e4-a28d-3a4c42f49b72,FS_5
http://data.europa.eu/esco/skill/4fc1d2b4-9645-4fda-be99-abdf8e66c88d,FS_5
http://data.europa.eu/esco/skill/614c627b-2ec9-4a0d-811e-de14be4362f2,FS_5
http://data.europa.eu/esco/skill/94a56423-06a2-4753-b158-4d9231c8293e,FS_5
http://data.europa.eu/esco/skill/2fb8480e-de3c-462b-b169-e8bbb344da68,FS_5
http://data.europa.eu/esco/skill/1a4cc54f-1e53-442b-a6d2-1682dc8ef8f9,FS_5
http://data.europa.eu/esco/skill/05fc6f8d-639c-4329-a6de-dfdd800ed091,FS_6
http://data.europa.eu/esco/skill/91306a20-9b81-4f3d-97eb-f5368b607da7,FS_6
http://data.europa.eu/esco/skill/5b0f2198-7246-4256-a902-4d9ce1260c80,FS_6
http://data.europa.eu/esco/skill/b7c8f418-08d5-45d6-b697-ab26c6ecbfb4,FS_6
http://data.europa.eu/esco/skill/b6b2e665-1085-4f4d-9973-e979721815d7,FS_6
http://data.europa.eu/esco/skill/ccc28081-a273-45f8-98f6-0fd70e935263,FS_6
http://data.europa.eu/esco/skill/2b69525c-731c-4813-99a7-673fa5679d32,FS_6
http://data.europa.eu/esco/skill/7bb5d9af-0a7e-48a7-a860-0e1ded0f6e75,FS_6
http://data.europa.eu/esco/skill/0da516ee-e70e-4384-be13-f5ff80be8127,FS_6
http://data.europa.eu/esco/skill/2aa071f3-fd16-4015-8936-c673d1b400d8,FS_6
http://data.europa.eu/esco/skill/750caee5-12a0-46ba-b8aa-1e56370deaf9,FS_6
http://data.europa.eu/esco/skill/0d11711b-870f-4701-be93-fa175b6e4002,FS_6
http://data.europa.eu/esco/skill/cd990eab-c6a9-4c11-b17d-b12a98f6573b,FS_6
http://data.europa.eu/esco/skill/2239694b-771a-4586-8b54-2794e361a9ae,FS_6
http://data.europa.eu/esco/skill/4b95c7bb-5672-4e4a-88ea-ba96c12e8ca2,FS_6
http://data.europa.eu/esco/skill/dc9a236c-c640-43c3-812f-269403591edb,FS_6
http://data.europa.eu/esco/skill/d63f49de-cb72-4ce3-9553-a374a4f32f52,FS_6
http://data.europa.eu/esco/skill/e7219848-a27a-4bf4-8775-d367707be7c9,FS_6
http://data.europa.eu/esco/skill/ccb0809c-d045-4621-82f7-192b9e89a4f2,FS_6
http://data.europa.eu/esco/skill/c09c5786-a479-46de-b0aa-d5d2d8ccc123,FS_6
http://data.europa.eu/esco/skill/71746a0b-e58d-4dc4-ad03-bd84082eae21,FS_6
http://data.europa.eu/esco/skill/31c83903-8fc8-4bd8-9ca4-7a98a9c31eae,FS_6
http://data.europa.eu/esco/skill/4adb861b-3ad8-4f0d-9343-decf59748d56,FS_6
http://data.europa.eu/esco/skill/68698869-c13c-4563-adc7-118b7644f45d,FS_6
http://data.europa.eu/esco/skill/88b406d0-72e2-4087-be19-d5992d259473,FS_7
http://data.europa.eu/esco/skill/afdb41dd-5dd5-4fbb-bf9e-e041422698b4,FS_7
http://data.europa.eu/esco/skill/c54b03a9-fe20-42af-9e8a-f8896af4a4f9,FS_7
http://data.europa.eu/esco/skill/e49f4158-9d4c-425d-bf32-dfe89b19840a,FS_7
http://data.europa.eu/esco/skill/01755f08-4df4-4cf0-8d22-08f94cad68b5,FS_7
http://data.europa.eu/esco/skill/6b305973-8993-475f-bd8a-daf037c61401,FS_7
http://data.europa.eu/esco/skill/e49f4158-9d4c-425d-bf32-dfe89b19840a,FS_7
http://data.europa.eu/esco/skill/b618584f-6bdf-4d8f-89a7-f28c2c95afc2,FS_7
http://data.europa.eu/esco/skill/911e13ee-1eec-4243-88c8-3c08a3681a19,FS_7
http://data.europa.eu/esco/skill/279a4b1d-21df-4d78-9f4d-324c73fd7536,FS_7
http://data.europa.eu/esco/skill/7a93e22f-54d8-4bf0-9213-d711f6601b49,FS_7
http://data.europa.eu/esco/skill/113b4428-0a31-4199-8496-070af7854b91,FS_7
http://data.europa.eu/esco/skill/d9013e0e-e937-43d5-ab71-0e917ee882b8,FS_7
http://data.europa.eu/esco/skill/ccfbdaad-b91d-4bfe-bd0e-d30b33587f19,FS_7
http://data.europa.eu/esco/skill/21c5790c-0930-4d74-b3b0-84caf5af12ea,FS_7
http://data.europa.eu/esco/skill/cd5efa8c-e44d-4cbc-91c6-796018dbed68,FS_7
http://data.europa.eu/esco/skill/91abe492-18be-4cce-93c7-0dca07072363,FS_7
http://data.europa.eu/esco/skill/adc6dc11-3376-467b-96c5-9b0a21edc869,FS_8
http://data.europa.eu/esco/skill/c54b03a9-fe20-42af-9e8a-f8896af4a4f9,FS_8
http://data.europa.eu/esco/skill/a628d2d1-f40a-4c37-a357-2801726f2996,FS_8
http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,FS_8
