sector;company_size;user_role;job_position;occupation;occupation_correct;working_times;home_office;self_initiative;flexibility;leadership;communication;creativity;customer_orientation;organization;problem_solving;resilience;goal_orientation;created
;;[];Datenwissenschaftler/Datenwissenschaftlerin;;Datenwissenschaftler/Datenwissenschaftlerin;;;83;83;;83;83;83;83;83;83;83;2023-03-28 15:57:45.000
;;[];;;;;0;83;42;50;72;75;50;67;33;61;67;2023-05-15 14:29:10.000
Sonstiges;Weniger als 100;"[""flex. Arbeitszeiten"",""Homeoffice"",""Kinderbetreuung""]";Buchalterin ;Lohn- und Gehaltsbuchhalter/Lohn- und Gehaltsbuchhalterin;Lohn- und Gehaltsbuchhalter/Lohn- und Gehaltsbuchhalterin;Teilzeit;1;83;42;61;72;71;78;56;61;44;72;2023-05-22 21:19:54.000
Produzierendes Gewerbe / Industrie;Weniger als 500;"[""Homeoffice"",""flex. Arbeitszeiten"",""Mobiles Arbeiten"",""Gesundheitsf\u00f6rderung \/ -ma\u00dfnahmen"",""betriebliche Altersvorsorge"",""Verm\u00f6genswirksame Leistungen""]";Produktmanager;Manager/Managerin;Manager/Managerin;Vollzeit;1;83;67;56;61;63;50;78;67;83;56;2023-05-30 12:18:10.000
IT, Medien und Telekommunikation;Weniger als 100;"[""Homeoffice"",""flex. Arbeitszeiten"",""Mobiles Arbeiten"",""Gesundheitsf\u00f6rderung \/ -ma\u00dfnahmen"",""Fortbildungsangebote"",""internationale Arbeitseins\u00e4tze m\u00f6glich""]";;Mediengestalter Digital und Print ƒ?? Gestaltung und Technik/Mediengestalterin Digital und Print ƒ?? Gestaltung und Technik;Mediengestalter Digital und Print – Gestaltung und Technik/Mediengestalterin Digital und Print – Gestaltung und Technik;Vollzeit;1;83;67;72;83;67;72;94;67;56;72;2023-06-02 07:52:29.000
Sonstiges;Weniger als 5000;"[""flex. Arbeitszeiten"",""Homeoffice"",""Mitarbeiter-Events"",""betriebliche Altersvorsorge"",""Mitarbeiter-Beteiligung"",""Verm\u00f6genswirksame Leistungen"",""Fortbildungsangebote"",""gute Verkehrsanbindung"",""internationale Arbeitseins\u00e4tze m\u00f6glich""]";Sicherheitsmitarbeiter;Abfallentsorgungsarbeiter und sonstige HilfsarbeitskrÇÏfte;Abfallentsorgungsarbeiter und sonstige HilfsarbeitskrÇÏfte;Vollzeit;1;78;75;72;83;63;78;67;61;67;78;2023-06-13 11:34:53.000
Dienstleistungen;Weniger als 50;"[""Homeoffice"",""flex. Arbeitszeiten"",""Mobiles Arbeiten"",""Mitarbeiter-Events"",""Gesundheitsf\u00f6rderung \/ -ma\u00dfnahmen"",""Mitarbeiter-Beteiligung"",""Fortbildungsangebote""]";MitarbeiterIn in der Kundenbetreuung;Kundenbetreuer/Kundenbetreuerin;Kundenbetreuer/Kundenbetreuerin;Beides mÇôglich;1;72;67;78;78;75;100;50;61;56;67;2023-06-19 09:42:17.000
Dienstleistungen;Weniger als 50;"[""Homeoffice"",""flex. Arbeitszeiten"",""Mobiles Arbeiten"",""Kinderbetreuung"",""Mitarbeiter-Events"",""Gesundheitsf\u00f6rderung \/ -ma\u00dfnahmen"",""betriebliche Altersvorsorge"",""Fortbildungsangebote""]";Rekruiter:in;Personalberater/Personalberaterin;Personalberater/Personalberaterin;Beides mÇôglich;1;83;92;83;83;71;100;61;83;78;39;2023-06-19 13:47:37.000
Produzierendes Gewerbe / Industrie;Weniger als 100;"[""Homeoffice"",""gute Verkehrsanbindung"",""Mobiles Arbeiten"",""flex. Arbeitszeiten""]";;;;Vollzeit;1;100;92;100;89;100;94;100;94;83;89;2023-06-27 18:58:22.000
Produzierendes Gewerbe / Industrie;Weniger als 1000;"[""Homeoffice"",""flex. Arbeitszeiten"",""Mobiles Arbeiten"",""Mitarbeiter-Events"",""Kantine \/ Essenzulagen"",""Gesundheitsf\u00f6rderung \/ -ma\u00dfnahmen"",""Mitarbeiter-Beteiligung"",""betriebliche Altersvorsorge"",""Verm\u00f6genswirksame Leistungen"",""Fortbildungsangebote"",""Mitarbeiter-Rabatte"",""Parkplatz"",""gute Verkehrsanbindung"",""Job-Rotation"",""internationale Arbeitseins\u00e4tze m\u00f6glich""]";Projektmanagement;Projektmanager/Projektmanagerin;Projektmanager/Projektmanagerin;Beides mÇôglich;0;61;50;72;56;79;72;89;61;56;78;2023-07-04 20:30:15.000
Gesundheits- und Bildungssektor;Weniger als 1000;"[""Kantine \/ Essenzulagen"",""Mitarbeiter-Events"",""betriebliche Altersvorsorge"",""Mitarbeiter-Rabatte"",""Fortbildungsangebote"",""gute Verkehrsanbindung""]";Content Creator ;BÇ¬roassistent/BÇ¬roassistentin;Web-Content-Manager/Web-Content-Managerin;Teilzeit;0;94;75;72;83;75;89;72;72;67;56;2023-07-04 21:44:49.000
Handel;Weniger als 10.000;"[""flex. Arbeitszeiten""]";;;;Teilzeit;0;33;17;44;44;58;17;11;17;17;44;2023-07-09 15:35:28.000
;;[];;;;;0;89;100;100;83;71;94;72;67;61;67;2023-07-12 21:56:04.000
Gesundheits- und Bildungssektor;Weniger als 100;"[""flex. Arbeitszeiten"",""Kinderbetreuung""]";Helfer;Pflegehelfer;Pflegehelfer/Pflegehelferin;Teilzeit;1;94;42;89;100;92;94;83;56;56;83;2023-07-13 13:19:58.000
;;[];;;;;0;0;0;0;0;0;0;0;0;0;0;2023-07-14 11:36:51.000
Sonstiges;Weniger als 1000;"[""flex. Arbeitszeiten""]";CNC-Programmierer in FrÇÏsen/Drehenmetall;3D-Druck-Techniker/3D-Druck-Technikerin;CNC-Programmierer/CNC-Programmiererin;Vollzeit;0;100;100;100;100;100;100;100;100;100;100;2023-07-26 23:50:24.000
Sonstiges;Weniger als 50;"[""Homeoffice"",""flex. Arbeitszeiten""]";Verwaltungsangestellte bei der Stadt KÇôln;Verwaltungsangestellter im Bereich Verteidigung/Verwaltungsangestellte im Bereich Verteidigung;Verwaltungsbeamter/Verwaltungsbeamtin;Vollzeit;1;78;75;83;56;71;78;78;67;72;72;2023-07-28 08:19:09.000
IT, Medien und Telekommunikation;Weniger als 500;"[""Homeoffice"",""flex. Arbeitszeiten"",""Mobiles Arbeiten"",""Kinderbetreuung"",""Mitarbeiter-Events"",""Kantine \/ Essenzulagen"",""Gesundheitsf\u00f6rderung \/ -ma\u00dfnahmen"",""betriebliche Altersvorsorge"",""Verm\u00f6genswirksame Leistungen"",""Parkplatz""]";Technische Key Account Managerin;Projektmanager/Projektmanagerin;Manager/Managerin;Vollzeit;1;67;58;72;89;71;83;61;50;89;100;2023-08-07 14:02:13.000
Gesundheits- und Bildungssektor;Weniger als 5000;"[""Homeoffice"",""Mitarbeiter-Events"",""Gesundheitsf\u00f6rderung \/ -ma\u00dfnahmen"",""Fortbildungsangebote"",""Mitarbeiter-Rabatte"",""flex. Arbeitszeiten""]";Projektreferent:in ;Projektmanager/Projektmanagerin;Projektmanager/Projektmanagerin;Vollzeit;1;83;67;83;78;83;83;72;61;78;72;2023-08-09 10:36:17.000
Dienstleistungen;Weniger als 500;"[""Homeoffice"",""flex. Arbeitszeiten"",""Mobiles Arbeiten"",""betriebliche Altersvorsorge"",""Mitarbeiter-Events"",""Kantine \/ Essenzulagen"",""Gesundheitsf\u00f6rderung \/ -ma\u00dfnahmen"",""Verm\u00f6genswirksame Leistungen"",""Fortbildungsangebote"",""Mitarbeiter-Rabatte"",""Parkplatz""]";;Softwareentwickler;Softwareentwickler/Softwareentwicklerin;Vollzeit;1;78;67;100;94;92;89;94;50;67;89;2023-08-13 19:37:10.000
Gesundheits- und Bildungssektor;Weniger als 50;"[""flex. Arbeitszeiten""]";Wundmanager   Betreuungskraft;Krankenpfleger Allgemeine Krankenpflege/Krankenschwester Allgemeine Krankenpflege;Krankenpfleger Allgemeine Krankenpflege/Krankenschwester Allgemeine Krankenpflege;Teilzeit;0;67;58;78;67;71;83;67;61;72;72;2023-09-13 10:45:54.000
Sonstiges;Weniger als 5000;"[""Kantine \/ Essenzulagen"",""Mitarbeiter-Events"",""Gesundheitsf\u00f6rderung \/ -ma\u00dfnahmen"",""gute Verkehrsanbindung"",""betriebliche Altersvorsorge""]";Wirtschafwisserin;BÇ¬rokrÇÏfte im Finanz- und Rechnungswesen und in der Statistik;Bürokräfte im Finanz- und Rechnungswesen und in der Statistik;Beides mÇôglich;0;78;67;89;72;83;67;94;39;61;78;2023-09-15 15:20:07.000
Produzierendes Gewerbe / Industrie;Weniger als 100;"[""internationale Arbeitseins\u00e4tze m\u00f6glich"",""gute Verkehrsanbindung"",""betriebliche Altersvorsorge"",""Mobiles Arbeiten""]";;;;;0;78;67;83;94;88;94;44;22;33;44;2023-09-20 08:11:00.000
